plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
aspen,Armillaria root rot (Oak root fungus),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FS.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AM-AMEL-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-CU.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html,
aspen,Oak root fungus (Armillaria root rot),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.002h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FU.003h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-FS.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AM-AMEL-TR.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WO-AMEL-CU.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html,
aster,Leaf spot diseases,Septoria spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
aster,Rust,various,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-FL-PHEL-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-FL-PMUC-FO.004a.jpg,,,,,,,"rust fungi infect under mild, moist conditions. reduce infections by minimizing the length of time that foliage is wet. avoid overhead watering, which favors rust spore germination and spread. alternatively, water early in the day so that plants dry more quickly. use good sanitation. remove and destroy affected plants or plant parts as soon as they appear. prevent excess humidity, provide good air circulation, and don€™t crowd plants. some plants are resistant to rust. consider using these to avoid rust problems. fungicides, including neem oil, applied at the first signs of infection can also prevent serious damage from most rust fungi.",,,rusts€”many species,"rusts are easily recognized by the dry, brown, orange, purple, reddish, or yellowish spore masses or pustules that form on the lower leaf surfaces. rusts infect many plants, including aster, carnation, geranium, iris, lily, pansy, primrose, snapdragon, sunflower, and sweet pea. the upper surface of heavily infected leaves can become spotted or turn yellow or brown, and infected leaves may curl, wither, and drop prematurely. severely infected plants may be stunted. some rust species cause tissue swellings, galls, or cankers, especially on woody plant parts. these rusts can cause stem dieback and, rarely, can kill the entire plant."
avocado,Avocado root rot,Phytophthora cinnamomi,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-AV-PCIN-FS.001a.jpg,,,,,,,avocado root rot is associated with excess soil moisture due to overirrigation or poor drainage. good water management is essential to reduce the threat of rot. it prolongs the life of diseased trees and can prevent spread to other trees. avoid prolonged saturation of the soil. plant on mounds and provide good soil drainage. some rootstocks may provide resistance.,,,avocado root rot€”phytophthora cinnamomi,avocado root rot causes leaves to be smaller than normal. they are usually pale or yellow green. new growth is absent or stunted. feeder roots are blackened and dead.
avocado,Bacterial canker,Xanthomonas campestris,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/X/D-AV-XCAM-TR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-AV-XCAM-TR.002a.jpg,,,,,,,"avoid planting trees on sandy or shallow soils. if trees have been damaged by bacterial canker, remove entire affected branches, being sure to eliminate the entire canker and a few inches below.",,,bacterial canker €” xanthomonas campestris,"bacterial canker is characterized by irregularly shaped, brown, water-soaked areas that develop in the bark and outer sapwood of spurs, branches, and sometimes the tree trunk. amber-colored gum or white patches of sugar may exude from the margins of cankers. the diseased tissue is reddish brown, moist, and may be sour smelling."
avocado,Dothiorella canker,Botryosphaeria spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-BT.006a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-TR.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-FR.005a.jpg,,,,,,,"dothiorella canker is usually of minor importance in established, older trees. where it is a problem, use good sanitation and optimal cultural practices to control it. prune out dead limbs and twigs during dry conditions. dispose of dead wood and old fruit away from avocado trees. knock down groups of dead leaves stuck in trees. provide sufficient irrigation, and consider planting rootstock cultivars that have some resistance to this disease.",,,"dothiorella canker€”botryosphaeria, neofusicoccum, and fusicoccum spp.","dothiorella cankers exude reddish sap that dries to a brown and white powder. bark may be cracked, discolored, or sunken. under the canker, inner bark and wood is brown, orangish, or red. small branches and leaves can be killed, leaving entirely brown dry leaves attached to dead limbs. dead branches may retain fruit, which blackens and shrivels. fruit infection is not often obvious until it is picked and starts to soften. initial lesions are small, irregular brown to reddish discolorations on the peel. brown streaks may occur in the flesh. as fruit ages, the surface lesions become sunken and black, and decay spreads throughout the entire fruit. identification | life cycle"
avocado,Dothiorella canker,Neofusicoccum spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-BT.006a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-TR.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/D/D-AV-DGRE-FR.005a.jpg,,,,,,,"dothiorella canker is usually of minor importance in established, older trees. where it is a problem, use good sanitation and optimal cultural practices to control it. prune out dead limbs and twigs during dry conditions. dispose of dead wood and old fruit away from avocado trees. knock down groups of dead leaves stuck in trees. provide sufficient irrigation, and consider planting rootstock cultivars that have some resistance to this disease.",,,"dothiorella canker€”botryosphaeria, neofusicoccum, and fusicoccum spp.","dothiorella cankers exude reddish sap that dries to a brown and white powder. bark may be cracked, discolored, or sunken. under the canker, inner bark and wood is brown, orangish, or red. small branches and leaves can be killed, leaving entirely brown dry leaves attached to dead limbs. dead branches may retain fruit, which blackens and shrivels. fruit infection is not often obvious until it is picked and starts to soften. initial lesions are small, irregular brown to reddish discolorations on the peel. brown streaks may occur in the flesh. as fruit ages, the surface lesions become sunken and black, and decay spreads throughout the entire fruit. identification | life cycle"
avocado,Phytophthora root and crown rot,Phytophthora spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-AV-PCIT-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AV-PCIT-TR.001a.jpg,,,,,,,"the key factor in reducing the threat of root and crown rot is good water management. good soil drainage is best provided before planting. plant on mounds made by working up the soil. never cover the graft union with soil and do not water the crown area directly. if you suspect crown rot, carefully cut away affected bark at the soil line. trees can sometimes be saved by removing soil from the base of the tree down to the tops of the main roots and allowing the crown tissue to dry out. tolerant rootstocks may help prevent infection.",,,phytophthora root and crown rot,phytophthora root rot is characterized by beads of sap found on the tree trunk. cracking may also occur on the trunk. fruit may be partially covered with brown spots.
avocado,Sunblotch,Avocado sunblotch viroid,Viroid,https://ipm.ucanr.edu/PMG/IMAGES/S/D-AV-SBLV-FR.001a.jpg,,,,,,,"sunblotch is caused by a viriod, transmitted through seed or by grafting. be sure to use clean seed and budwood. remove infected trees.",,,sunblotch,"symptoms of sunblotch include yellowish or white streaks on fruit. twigs may also have streaks. avocado trees may be stunted, and fruit yield may be reduced."
avocado,Verticillium wilt,Verticillium dahliae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/V/D-AV-VALB-FS.001a.jpg,,,,,,,"verticillium wilt can sometimes be minimized by removing all residue, including roots that may be susceptible, and using soil solarization before you plant. the verticillium fungus has a wide host range, including tomatoes, cucurbits, strawberries, caneberries, and stone fruit. keeping these susceptible crops out of garden areas for 3 to 5 years can reduce verticillium to levels where a crop can be profitably grown for 1 or 2 years. corn, other grains, carrots, lettuce, beans, and peas are some crops that could be used. no resistant varieties are available.",,,verticillium wilt€”verticillium albo-atrum,verticillium wilt often starts as a yellowing between the major veins of the leaves. the fungus moves throughout the plant and eventually whole leaves and stems wither and die.
azalea,Ovulinia petal blight,Ovulinia azalea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/O/D-WO-OAZA-BL.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/O/D-WO-OAZA-BL.003a.jpg,,,,,"damage from ovulinia petal blight resembles that of botrytis blight. however, botrytis blight is a drier rot that also affects blossoms and dying or inactive green tissue. ovulinia petal blight infects only blossoms. botrytis and ovulinia produce similar sclerotia (infectious structures) that are black, flattened, irregular shaped, and about 1/8 to 1/2 inch long. ovulinia sclerotia from fallen flowers produce very small, brownish, wineglass-shaped apothecia (reproductive structures) about 1/12 inch diameter on stalks about 1/8 to 2/5 inch long.","the biology of ovulinia petal blight is nearly identical to that of camellia petal blight. the fungi infect wet blossoms when temperatures are mild, about 50° to 70°f. ovulinia azaleae persists and reproduces by forming apothecia and sclerotia described above. ovulinia petal blight also produces colorless conidia (asexual spores) that develop on infected petals. apothecia forcibly discharge large numbers of spores that are carried by wind onto emerging blooms where they germinate and infect flowers when they are wet. these spores also spread by movement of flower-visiting insects, especially bumble bees. the insect- and wind-borne spores allow the fungus to reproduce and spread between many blossoms within several days of an initial infection. damage the disease causes premature death of blossoms of rhododendron species. infected blossoms develop brownish or white spots that spread over entire petals and flowers. infected blossoms become droopy, limp, and slimy and sometimes cling to leaves after they die.",,"the disease causes premature death of blossoms of rhododendron species. infected blossoms develop brownish or white spots that spread over entire petals and flowers. infected blossoms become droopy, limp, and slimy and sometimes cling to leaves after they die. solutions sanitation is the primary management method. remove the top layer of potting soil when new azalea or rhododendron are purchased and replace it with pathogen-free soil. plant azaleas and rhododendrons in a well-ventilated location. avoid over-head irrigation and instead install drip or microsprinkler irrigation. remove and dispose of fallen, old, and infected flowers. do not add azalea and rhododendron petals or leaves to composting piles or mulch. even if the organic material is composted, it is difficult to expose all plant debris to the 140°f required to kill the ovulinia propagules by composting. each year when blossoms are no longer present, apply a fresh layer of uncontaminated organic mulch beneath host plants. maintain about a 4-inch mulch layer to help suppress ovulinia propagules. keep mulch thin near the trunk or several inches away from trunks. application of appropriate fungicides prior to bud break or before rainy weather or both can help to reduce infections. where petal blight has been a problem, the fungicides chlorothalonil, thiophanate methyl, or triforine can be applied before disease develops. depending on the fungicide, reapplication may be warranted every 10 to 14 days while conditions remain suitable (foggy or rainy) for the pathogen. be aware that fungicides often provide only partial control unless they are applied preventatively in combination with the recommended cultural and sanitation practices. adapted from pests of landscape trees and shrubs: an integrated pest management guide, university of california statewide integrated pest management program (uc ipm).",,azalea petal blight and rhododendron petal blight€”ovulinia azaleae,"azaleas and rhododendrons are highly susceptible to petal blight, also called flower blight or ovulinia petal blight. the causal fungus, ovulinia azaleae, infects only petals, causing white to brownish spots that can enlarge rapidly."
barberton daisy,Leaf spot diseases,Alternaria gerberae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
barberton daisy,Leaf spot diseases,Ascochyta gerberae,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
beans,Bean rust,Uromyces phaseoli,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/U/D-BN-UPHA-FO.001a.jpg,,,,,,,"space plants to allow for adequate air circulation. avoid overhead sprinklers, as rust spores are spread by wind and splashing water. dispose of infected leaves and shoots as soon as they appear. fungicides, such as sulfur, applied in the spring can reduce some rust diseases. some varieties may show resistance.",,,bean rust€”uromyces phaseoli,"plants infected with rust have dry reddish, yellowish, or orange spore masses or pustules primarily on the lower surface of leaves. bean pods may also show symptoms."
beans,Curly top,Beet curly top virus (BCTV),Virus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/curlytop.html,
beans,Damping off,Pythium spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-BN-PYTH-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/R/D-BN-RSOL-ST.017a.jpg,,,,,,,"planting at a temperature and at a date optimum for the plant and in soil that is moist but not overly wet is the first line of defense. prepare raised planting beds so that the soil has good drainage. plant shallow to minimize exposure of susceptible areas of the hypocotyl. use light sprinkler irrigations to encourage germination and emergence, but do not overwater.",,,damping off of beans€”pythium spp. and rhizoctonia solani,"in plants infected with the pythium or rhizoctonia fungus seeds rot and young seedlings damp off. symptoms include water-soaked or reddish brown lesions with the eventual collapse of the hypocotyl at or below ground. occasionally, older plants are infected and develop water-soaked lesions that extend some distance up the stem, causing a linear band of dead cortical tissue. girdling of the stem and eventual death may occur."
beans,Damping off,Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-BN-PYTH-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/R/D-BN-RSOL-ST.017a.jpg,,,,,,,"planting at a temperature and at a date optimum for the plant and in soil that is moist but not overly wet is the first line of defense. prepare raised planting beds so that the soil has good drainage. plant shallow to minimize exposure of susceptible areas of the hypocotyl. use light sprinkler irrigations to encourage germination and emergence, but do not overwater.",,,damping off of beans€”pythium spp. and rhizoctonia solani,"in plants infected with the pythium or rhizoctonia fungus seeds rot and young seedlings damp off. symptoms include water-soaked or reddish brown lesions with the eventual collapse of the hypocotyl at or below ground. occasionally, older plants are infected and develop water-soaked lesions that extend some distance up the stem, causing a linear band of dead cortical tissue. girdling of the stem and eventual death may occur."
beans,Fusarium root rot,Fusarium solani,Fungus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/fusariumrtrot.html,
beans,Mosaic viruses,none,Virus,https://ipm.ucanr.edu/PMG/IMAGES/B/D-BN-BYMV-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/B/D-BN-BCMV-FO.002a.jpg,,,,,,,"this group of diseases is spread from plant to plant by aphids and leafhoppers. it is not practical to try to control virus diseases by using insecticides to control insects. reflective mulches may reduce or delay infections as it helps repel insects from plants. pull up plants showing symptoms; they will be unproductive and may allow disease to spread to nearby healthy plants. keep broadleaf weeds down, because they may serve as a reservoir of viruses and facilitate spread to beans. resistant varieties may be available.",,,mosaic viruses of beans,"three mosaic viruses infect beans: bean common mosaic, bean yellow mosaic, and cucumber mosaic. symptoms may include yellow or green mosaic or mottle patterns of infected leaves, vein banding, and interveinal yellowing. leaves may also be distorted, cupped or curled downward, or wrinkled."
beans,Powdery mildew,Erysiphe polygoni,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001a.jpg,,,,,,"all powdery mildew fungi require living plant tissue to grow. most powdery mildew fungi grow as thin layers of mycelium on the surface of the affected plant part. spores, which are the primary means of dispersal, make up the bulk of the powdery growth and are produced in chains that can be seen with a hand lens. spores are carried by the wind to new hosts. all powdery mildew species can germinate and infect in the absence of water. moderate temperatures and shady conditions are generally the most favorable for powdery mildew development. spores are sensitive to extreme heat and direct sunlight.","powdery mildew is favored by warm, dry days and cool, damp nights. in most cases, planting resistant varieties or avoiding the most susceptible varieties and following good cultural practices will adequately control powdery mildew. plant in unshaded areas as much as possible. provide enough water and avoid excess fertilizer. because spores cannot germinate when there is free moisture and may be killed, plantings with overhead sprinkler systems or frequent water sprays may have reduced incidence of powdery mildew. where conditions are most favorable for mildew, you may consider application of fungicides such as highly refined oils, sulfur soaps, or biologicals. compost or bury infected residues to destroy overwintering fungus.",,,powdery mildew on peas and beans€”erysiphe spp.,"powdery mildew usually appears first as yellow spots on the upper leaf surface of older leaves; these spots develop the characteristic powdery growth and symptoms spread to the undersides of leaves and stems. the leaves may also curl and dry out. affected leaves may turn completely yellow, die, and fall off and the fruit beneath may become sunburned. pea pods may get brownish spots on them."
beans,Powdery mildew,Sphaerotheca fuliginea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
beans,White mold,Sclerotinia sclerotiorum,Fungus,,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/whitemold.html,
beet,Powdery mildew,Erysiphe polygoni,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/P/D-CU-PXAN-FO.005h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/L/D-TO-LTAU-FO.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-SP-EPOL-FR.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html,
begonia,"Bacterial soft rots, leaf spots, blights, wilts",Erwinia spp.,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PSYY-FO.001b.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-FL-XCAM-FO.002a.jpg,,,,,,,"use disease-free cuttings, corms, and other stock. avoid planting too deeply. provide good drainage. do not overwater and avoid overhead irrigation. keep foliage dry and provide good air circulation. don€™t crowd plantings. bacteria commonly infect through wounds, so avoid injuring plants. use good sanitation. regularly inspect plants for disease and remove infected plants immediately. some cultivars are more susceptible to infections than others. seek information on resistant cultivars and consider planting them.",,,"bacterial soft rots, leaf spots, blights, wilts€”erwinia, pseudomonas, xanthomonas spp.","bacterial soft rots affect many plants including begonia, carnation, daffodil, geranium, impatiens, and zinnia. soft rot bacteria cause infected tissue to turn brown, become mushy, and develop an unpleasant odor. stem tissue turns brown and deteriorates near the soil. plants grow slowly and seedlings collapse. bacterial spots often start out as tiny water-soaked areas on leaves, stems, or blossoms. spots or blotches turn dark gray or blackish as they enlarge and sometimes have yellow borders. initial spots are circular but may become angular and coalesce and cause plant tissue death or necrosis. cankers may form on stems. under wet conditions, infected tissue may exude brownish masses of bacteria. dead tissue may tear out, leaving holes and a ragged appearance.  pathogens causing spots, blights, and soft rots can also cause vascular wilt if the infecting bacteria become systemic. aboveground plant parts yellow, droop, wilt, and die."
begonia,Leaf spot diseases,Phyllosticta spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-FL-CIRI-FO.005a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PMIN-FO.003a.jpg,,,,,,,"in most cases, infections can be tolerated. remove fallen leaves and debris promptly. many of the pathogens are favored by moisture, so avoid overhead sprinklers and irrigate early in the day so that the foliage dries more quickly. generally, fungicide treatment is not warranted.",,,leaf spot diseases,"many fungi cause leaf spots on different hosts. spots may vary from small discrete dots and raised areas to irregular yellow or brownish patches that cover much of the leaf surface. leaves may fall off the tree if the problem is severe, but these pathogens rarely cause long-term damage to trees. similar spots can be caused by bacterial pathogens, insects and mites, or abiotic factors on some plants."
begonia,Powdery mildew,Golovinomyces cichoracearum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-WO-SPAN-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/M/D-WO-MEUO-FU.007h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/E/D-WO-ELAG-FO.001h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7493.html,
bentgrasses,Red thread,Laetisaria fuciformis,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disredthread.jpg,"red fescue, perennial ryegrass","red thread may kill grass in circular to irregular patches 2 to 8 inches (5 - 20 cm) in diameter or it may weaken turf. leaves turn tan in color, giving the turf a scorched appearance. infections on leaves begin at the tip and move down the blade. a pink web of fungal threads binds the leaves together. pink, gelatinous fungal crusts occur on the leaves.",red thread is favored by mild air temperatures (60° to 75°f) and extended periods of leaf wetness. plants deficient in nitrogen during periods of cool temperatures or excess wetness can make the turf more susceptible to infection. in california it occurs primarily in northern and central coastal areas.,follow proper irrigation and fertilization requirements for your turf species. provide adequate air circulation and reduce shading. fungicides should not be needed.,,,,,,,
bentgrasses,Take-all patch,Gaeumannomyces graminis var. avenae,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/distakeall.jpg,bentgrasses,"take-all patch appears as circular or ring-shaped dead areas that range from a few inches up to 3 feet (90 cm) or more in diameter. roots are rotted and have dark strands of mycelium visible on the surface. large, black, globular, fungal fruiting bodies (perithecia) may be visible with the use of a hand lens.","take-all patch generally occurs in the late fall and winter when temperatures are 50° to 60°f and soils are wet or moist. however, symptoms may not appear until the turf is exposed to periods of drought or heat stress. soils light in texture, low in organic matter, or underfertilized also contribute to disease development.",improve soil drainage and fertilize at the recommended rate for your turf species. a professional soil analysis can provide you with information on amendments to add to improve the soil.,,,,,,,
bermudagrass,Brown patch (large patch or Rhizoctonia blight ),Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bermudagrass,Dollar spot,various,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disdollar.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disdollarspt.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disdollarshape.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, red fescue, tall fescue","dollar spot begins as small, circular spots 1 to 2 inches (2.5 - 5 cm) in diameter. spots are straw colored or have a bleached appearance and merge together to form large, irregular areas. individual leaves appear water-soaked, often exhibiting 2 reddish bands across the leaf in an hourglass shape. fine, white, cobwebby threads may be seen in early morning.","dollar spot appears during the spring and fall months in california and is favored by moderate temperatures (60° to 80°f). excess moisture, water stress, fog, or thatch buildup can also contribute to disease development. dollar spot survives in the soil as hard, dark structures called sclerotia.","apply fertilizer at the recommended rate for your turf species. follow proper irrigation practices. reduce thatch and maintain air circulation. compost top dressings may suppress the disease. increase your mowing height to the tallest recommended for your turf species. if dollar spot has caused a problem in previous years, a fungicide may be useful. apply it in the early spring or fall before symptoms occur.",,,,,,,
bermudagrass,Large patch (brown patch or Rhizoctonia blight ),Rhizoctonia solani,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhiz.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizmycelia.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrhizrings.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, st. augustinegrass, tall fescue","rhizoctonia blight first appears as irregular patches of weakened grass that may enlarge to many feet in diameter. the affected area may be a smoky color. leaves and sheaths are watersoaked, wilted, and light brown. fungal threads may be apparent.","high temperatures (80° to 95°f) and high humidity favor the development of rhizoctonia blight. excess thatch, poor drainage, and soft, lush growth due to excessive nitrogen also contribute to disease development.",reduce shading and improve soil aeration and water drainage. follow the irrigation and fertilization rates for your turf species. avoid watering in the evening. dethatch when the thatch layer exceeds 1/2 inch (1.2 cm). a fungicide may be useful if the disease was severe in the past or for seedlings in young turf.,,,,,,,
bermudagrass,Leaf spot,Bipolaris spp.,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dislfspt.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass","infected leaves, sheaths and stems have circular to elongated brownish spots with brown centers and dark brown or purple borders. crowns and roots have a dark brown rot. symptoms may occur throughout the lawn rather than in clumped areas. plants may die in hot, windy weather, leaving thinned areas throughout the turf.",warm temperatures (70° to 90°f) and high humidity favor the development of leaf spot. weakened turf may be the result of poor cultural practices. mowing too short and applying high amounts of nitrogen contribute to the development of the disease.,reduce shade and improve soil aeration and water drainage. follow the recommended irrigation requirements for your turf species and avoid excess nitrogen fertilizer. maintain as high a mowing cut as possible. fungicides are available but usually are not warranted for the home lawn.,,,,,,,
